Branch_Index,Congested_Hours,Rate_A,Upgrade_Lvl
3,22,2.21,2.0
4,22,2.21,2.0
9,0,1.96,3.0
12,12,1.49,2.0
13,1,2.21,1.0
18,10,0.98,3.0
19,0,1.49,2.0
26,1,2.21,1.0
33,6,1.639,1.0
34,4,2.21,3.0
35,24,1.5,3.0
37,3,1.49,3.0
38,22,2.873,1.0
39,13,2.25,1.0
40,13,2.25,1.0
43,9,1.49,1.0
50,12,1.49,3.0
53,1,2.5,1.0
54,2,2.5,1.0
58,8,1.87,3.0
59,10,1.274,2.0
65,0,0.98,1.0
66,15,3.0,3.0
75,2,1.49,2.0
85,0,2.5,3.0
86,3,2.21,2.0
89,18,0.98,3.0
90,17,1.764,3.0
101,5,2.6,3.0
104,17,0.98,2.0
116,0,3.5,1.0
140,12,2.51,3.0
208,10,2.51,3.0
323,1,0.98,2.0
343,1,0.98,1.0
354,2,1.49,1.0
425,1,0.98,2.0
432,3,5.23,3.0
440,1,0.98,2.0
474,10,1.426,3.0
475,1,0.98,2.0
476,0,0.98,1.0
525,0,0.98,1.0
1092,2,1.87,2.0
1222,3,13.79,3.0
1775,2,2.0,1.0
1796,4,1.764,1.0
1806,10,0.41,3.0
1808,10,0.25,2.0
1809,10,0.25,3.0
1810,10,0.46,3.0
1812,0,2.21,3.0
2136,3,2.178,1.0
2145,1,1.224,1.0
2575,4,1.518,1.0
2803,7,1.98,1.0
2849,2,1.45,1.0
2851,9,0.93,3.0
2852,9,0.93,3.0
2853,9,0.91,3.0
2854,9,0.93,3.0
2855,9,1.24,3.0
3050,9,0.47,3.0
3154,9,1.84,3.0
